Ticker, Price, Percentage, Date
BIRG.IR, 4.7900, -0.0900 (-1.84%), 11-6-2019
IPDC.IR, 0.1025, -0.0900 (-1.84%), 11-6-2019
SK3.IR, 26.21, +0.71 (+2.78%), 11-6-2019
KRZ.IR, 106.50, +0.60 (+0.57%), 11-6-2019
BIRG.IR, 4.7000, -0.0900 (-1.88%), 12-6-2019
IPDC.IR, 0.1030, +0.0005 (+0.49%), 12-6-2019
SK3.IR, 25.82, -0.39 (-1.49%), 12-6-2019
KRZ.IR, 105.90, -0.60 (-0.56%), 12-6-2019
BIRG.IR, 4.6380, -0.0620 (-1.32%), 13-6-2019
IPDC.IR, 0.1040, +0.0010 (+0.97%), 13-6-2019
SK3.IR, 26.98, +1.16 (+4.49%), 13-6-2019
KRZ.IR, 105.90, +1.16 (+4.49%), 13-6-2019
